DealerID,NewUsed,Year,Make,Model,ExteriorColor,InteriorColor,EngineCylinders,Trim,SellingPrice,Miles,MPG(Miles per gallon),FuelType,website Link for more details,Car Features
2013,NEW,2023,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude Lux,35777,10,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude Lux,35777,5,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Granite Crystal Metallic Clearcoat,Black,4,Latitude Lux,35777,0,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Latitude Lux,35777,6,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Silver Zynith,Global Black,4,4x4,64357,4,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Jeep,Compass,Granite Crystal Metallic Clearcoat,Black,4,Latitude Lux,35777,8,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Granite Crystal Metallic Clearcoat,Black,4,Latitude Lux,35777,0,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Ram,ProMaster Cargo Van,Bright White Clearcoat,Black,6,"1500 High Roof 136"" WB",53100,0,25,Gasoline,https://www.pinebeltcjdr.com/,"cargo, transport vehicle"
2013,NEW,2023,Jeep,Wrangler 4xe,Sting-Gray Clearcoat,Black,4,4x4,60052,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Ram,1500,Diamond Black Crystal Pearlcoat,Mountain Brown,6,"Longhorn 4x4 Crew Cab 5'7"" Box",78812,10,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Ram,1500,Ivory White Tri-Coat Pearlcoat,Mountain Brown,6,"Longhorn 4x4 Crew Cab 5'7"" Box",79407,11,22,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,NEW,2023,Jeep,Wrangler 4xe,Granite Crystal Metallic Clearcoat,Black,4,4x4,61252,5,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Chrysler,Pacifica,Velvet Red Pearlcoat,Black/Alloy/Black,6,Hybrid Limited FWD,55235,9,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,NEW,2023,Jeep,Wrangler 4xe,Granite Crystal Metallic Clearcoat,Black,4,4x4,61252,10,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Jeep,Wrangler 4xe,Hydro Blue Pearl Coat,Black,4,4x4,61252,6,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Chrysler,Pacifica,Ceramic Gray Clearcoat,Black/Alloy/Black,6,Hybrid Limited FWD,58030,12,25,Hybrid,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,USED,2020,Jeep,Compass,Diamond Black Crystal Pearlcoat,Black,4,Altitude 4x4,23891,21960,30,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Billet Silver Metallic Clearcoat,Black,4,Limited 4x4,40572,0,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Bright White Clearcoat,Black,4,Limited 4x4,40077,0,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Billet Silver Metallic Clearcoat,Ruby Red/Black,4,Trailhawk 4x4,41062,0,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Grand Cherokee 4xe,Bright White Clearcoat,Global Black,4,4x4,59572,119,25,Hybrid,https://www.pinebeltcjdr.com/,"Hybrid engine, fuel efficient, offroad and light toeing"
2013,NEW,2023,Jeep,Compass,Sting-Gray Clearcoat,Black,4,Limited 4x4,40572,0,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Compass,Billet Silver Metallic Clearcoat,Black,4,Limited 4x4,40572,0,32,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,NEW,2023,Jeep,Wrangler 4xe,Sting-Gray Clearcoat,Black,4,Sahara 4x4,64072,186,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,NEW,2023,Jeep,Wrangler 4xe,Hydro Blue Pearl Coat,Black,4,4x4,61252,53,25,Hybrid,https://www.pinebeltcjdr.com/,"Adventure, off road"
2013,USED,2017,Ram,1500,Brilliant Black Crystal Pearlcoat,Black,6,"Express 4x4 Crew Cab 5'7"" Box",25741,75864,21,Gasoline,https://www.pinebeltcjdr.com/,"Heavy Toeing truck, Pickup truck"
2013,USED,2020,Chrysler,Pacifica,Bright White Clearcoat,Alloy/Black,6,Touring L FWD,0,47657,28,Gasoline,https://www.pinebeltcjdr.com/,"Big family car, long distance travel"
2013,USED,2020,Jeep,Compass,Billet Silver Metallic Clearcoat,Black,4,Latitude 4x4,0,31367,31,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,USED,2020,Jeep,Compass,Granite Crystal Metallic Clearcoat,Black,4,Latitude 4x4,0,25543,31,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,USED,2021,Jeep,Compass,White Clearcoat,Black,4,Latitude 4x4,0,36866,30,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
2013,USED,2020,Jeep,Compass,Velvet Red Pearlcoat,Black,4,Latitude 4x4,25888,4944,31,Gasoline,https://www.pinebeltcjdr.com/,"off road capability, compact SUV, affordable price"
